Day(100.0%OfPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
6912 48.46 40.53999999999999 4.42 6.63
6936 48.46 40.53999999999999 4.3999999999999995 6.649999999999999
6960 48.57 40.53999999999999 4.2700000000000005 6.67
6984 48.559999999999995 40.55 4.2700000000000005 6.67
7008 48.580000000000005 40.55 4.2299999999999995 6.689999999999999
7032 48.56999999999999 40.52 4.26 6.699999999999999
7056 48.559999999999995 40.510000000000005 4.279999999999999 6.699999999999999
7080 48.550000000000004 40.5 4.29 6.709999999999999
7104 48.56999999999999 40.49 4.279999999999999 6.709999999999999
7128 48.580000000000005 40.48 4.279999999999999 6.709999999999999
7152 48.59 40.46999999999999 4.279999999999999 6.709999999999999
7176 48.64 40.459999999999994 4.24 6.709999999999999
7200 48.66 40.449999999999996 4.22 6.72
7224 48.650000000000006 40.449999999999996 4.22 6.7299999999999995
7248 48.67 40.440000000000005 4.199999999999999 6.739999999999998
7272 48.69 40.43 4.19 6.739999999999998
7296 48.699999999999996 40.43 4.18 6.739999999999998
7320 48.67999999999999 40.42 4.199999999999999 6.749999999999999
7344 48.71 40.410000000000004 4.17 6.76
7368 48.71999999999999 40.400000000000006 4.1499999999999995 6.78
7392 48.71999999999999 40.400000000000006 4.14 6.789999999999999
7416 48.71999999999999 40.39 4.1499999999999995 6.789999999999999
7440 48.73 40.35 4.18 6.789999999999999
7464 48.73 40.35 4.17 6.799999999999999
7488 48.73 40.32999999999999 4.19 6.799999999999999
7512 48.74000000000001 40.32999999999999 4.18 6.799999999999999
7536 48.74000000000001 40.32999999999999 4.17 6.81
7560 48.74000000000001 40.32 4.18 6.81
7584 48.75999999999999 40.32 4.1499999999999995 6.819999999999999
7608 48.75999999999999 40.32 4.14 6.83
7632 48.75999999999999 40.31000000000001 4.1499999999999995 6.83
7656 48.75 40.29999999999999 4.1499999999999995 6.849999999999999
7680 48.75999999999999 40.29999999999999 4.13 6.859999999999999
7704 48.739999999999995 40.31000000000001 4.13 6.87
7728 48.69 40.35 4.13 6.88
7752 48.69 40.339999999999996 4.14 6.88
7776 48.620000000000005 40.39 4.16 6.88
7800 48.61 40.39 4.16 6.889999999999999
7824 48.620000000000005 40.36 4.17 6.8999999999999995
7848 48.620000000000005 40.339999999999996 4.19 6.8999999999999995
7872 48.63000000000001 40.330000000000005 4.19 6.8999999999999995
7896 48.64000000000001 40.31000000000001 4.19 6.909999999999999
7920 48.64000000000001 40.31000000000001 4.18 6.92
7944 48.65000000000001 40.31000000000001 4.1499999999999995 6.939999999999999
7968 48.64000000000001 40.31000000000001 4.1499999999999995 6.949999999999999
7992 48.64000000000001 40.28 4.18 6.949999999999999
8016 48.64 40.28 4.17 6.959999999999999
8040 48.63000000000001 40.26 4.18 6.98
8064 48.63000000000001 40.230000000000004 4.199999999999999 6.989999999999999
8088 48.660000000000004 40.230000000000004 4.17 6.989999999999999
8112 48.660000000000004 40.230000000000004 4.16 6.999999999999999
8136 48.660000000000004 40.230000000000004 4.16 6.999999999999999
8160 48.650000000000006 40.230000000000004 4.17 6.999999999999999
8184 48.64 40.21000000000001 4.17 7.03
8208 48.68 40.19000000000001 4.1499999999999995 7.03
8232 48.69 40.18000000000001 4.14 7.039999999999999
8256 48.69 40.160000000000004 4.16 7.039999999999999
8280 48.69 40.160000000000004 4.16 7.039999999999999
8304 48.699999999999996 40.150000000000006 4.159999999999999 7.039999999999999
8328 48.71 40.150000000000006 4.1499999999999995 7.039999999999999
8352 48.71 40.150000000000006 4.1499999999999995 7.039999999999999
8376 48.71999999999999 40.150000000000006 4.139999999999999 7.039999999999999
8400 48.71999999999999 40.14 4.1499999999999995 7.039999999999999
8424 48.730000000000004 40.129999999999995 4.1499999999999995 7.039999999999999
8448 48.71 40.14 4.1499999999999995 7.049999999999999
8472 48.71 40.14 4.139999999999999 7.06
8496 48.74000000000001 40.129999999999995 4.109999999999999 7.07
8520 48.77000000000001 40.120000000000005 4.0600000000000005 7.1
8544 48.78 40.129999999999995 4.040000000000001 7.1
8568 48.760000000000005 40.160000000000004 4.02 7.109999999999999
8592 48.75 40.160000000000004 4.02 7.12
8616 48.75999999999999 40.150000000000006 4.02 7.12
8640 48.75 40.150000000000006 4.02 7.13
8664 48.75 40.14 4.03 7.13
8688 48.75999999999999 40.129999999999995 4.03 7.13
8712 48.809999999999995 40.12 3.9900000000000007 7.13
8736 48.809999999999995 40.09 4.02 7.13
8760 48.809999999999995 40.09 4.010000000000001 7.139999999999999
8784 48.809999999999995 40.07000000000001 4.03 7.139999999999999
8808 48.78999999999999 40.06 4.040000000000001 7.16
8832 48.8 40.06 4.03 7.16
8856 48.8 40.06 4.03 7.16
8880 48.8 40.06 4.03 7.16
8904 48.769999999999996 40.09 4.02 7.17
8928 48.769999999999996 40.09 4.02 7.17
8952 48.769999999999996 40.09 4.02 7.17
8976 48.78 40.09 4.010000000000001 7.17
9000 48.78999999999999 40.08 4.010000000000001 7.17
9024 48.78999999999999 40.06999999999999 4.010000000000001 7.180000000000001
9048 48.78 40.06999999999999 4.0 7.199999999999999
9072 48.769999999999996 40.04 4.040000000000001 7.199999999999999
9096 48.78 40.04 4.02 7.21
9120 48.769999999999996 40.05 4.02 7.21
9144 48.75999999999999 40.05 4.0 7.239999999999999
9168 48.760000000000005 40.040000000000006 4.0 7.249999999999999
9192 48.760000000000005 40.03 4.010000000000001 7.249999999999999
9216 48.760000000000005 40.02 4.02 7.249999999999999
9240 48.75 40.02 4.03 7.249999999999999
9264 48.730000000000004 40.01 4.040000000000001 7.2700000000000005
9288 48.730000000000004 40.01 4.010000000000001 7.3
9312 48.730000000000004 40.01 4.010000000000001 7.3
9336 48.75000000000001 40.0 4.0 7.3
9360 48.75000000000001 39.980000000000004 4.02 7.3
9384 48.760000000000005 39.980000000000004 4.010000000000001 7.3
9408 48.730000000000004 40.0 4.02 7.3
9432 48.720000000000006 39.989999999999995 4.03 7.31
9456 48.720000000000006 39.98 4.02 7.33
9480 48.71 39.98 4.02 7.339999999999999
9504 48.71 39.97 4.010000000000001 7.359999999999999
9528 48.69 39.980000000000004 4.010000000000001 7.369999999999999
9552 48.69 39.980000000000004 4.010000000000001 7.369999999999999
9576 48.69 39.96 4.03 7.369999999999999
9600 48.699999999999996 39.96 4.02 7.369999999999999
9624 48.690000000000005 39.96000000000001 4.03 7.369999999999999
9648 48.699999999999996 39.95000000000001 4.03 7.369999999999999
9672 48.67 39.980000000000004 4.02 7.380000000000001
9696 48.699999999999996 39.96000000000001 4.010000000000001 7.380000000000001
9720 48.69 39.970000000000006 4.0 7.39
9744 48.69 39.96 4.010000000000001 7.39
9768 48.699999999999996 39.96 3.9800000000000004 7.409999999999998
9792 48.71 39.93 3.9900000000000007 7.419999999999999
