Day(6.4%TBDiseaseONLYPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
6720 51.77000000000002 39.160000000000004 3.81 5.4799999999999995
6744 51.78 39.14 3.8 5.499999999999999
6768 51.83 39.129999999999995 3.74 5.52
6792 51.83 39.12 3.75 5.52
6816 51.87000000000002 39.099999999999994 3.73 5.52
6840 51.88 39.099999999999994 3.71 5.529999999999999
6864 51.89999999999999 39.08 3.6999999999999997 5.539999999999999
6888 51.89999999999999 39.07 3.710000000000001 5.539999999999999
6912 51.89999999999999 39.06 3.72 5.539999999999999
6936 51.89999999999999 39.050000000000004 3.730000000000001 5.539999999999999
6960 51.94000000000001 39.050000000000004 3.6800000000000006 5.549999999999999
6984 51.93000000000001 39.050000000000004 3.6800000000000006 5.56
7008 51.94000000000001 39.019999999999996 3.7000000000000006 5.56
7032 51.95000000000001 39.01 3.6800000000000006 5.579999999999999
7056 51.959999999999994 39.019999999999996 3.6600000000000006 5.579999999999999
7080 51.949999999999996 39.01 3.66 5.6
7104 51.96000000000001 39.01 3.65 5.6
7128 51.970000000000006 38.99 3.64 5.619999999999999
7152 51.989999999999995 38.970000000000006 3.64 5.619999999999999
7176 52.0 38.970000000000006 3.6199999999999997 5.63
7200 51.99 39.00000000000001 3.5900000000000003 5.639999999999999
7224 51.94 39.04 3.5999999999999996 5.639999999999999
7248 51.96000000000001 39.0 3.5999999999999996 5.66
7272 51.980000000000004 39.0 3.58 5.66
7296 51.95000000000001 38.980000000000004 3.61 5.68
7320 51.94000000000001 38.97 3.6199999999999997 5.69
7344 51.86999999999999 39.05 3.61 5.69
7368 51.86999999999999 39.03 3.63 5.69
7392 51.849999999999994 39.04 3.64 5.69
7416 51.870000000000005 39.04 3.5999999999999996 5.710000000000001
7440 51.85999999999999 39.050000000000004 3.5900000000000003 5.72
7464 51.83 39.03 3.64 5.72
7488 51.83 39.019999999999996 3.65 5.72
7512 51.839999999999996 39.01 3.6199999999999997 5.750000000000001
7536 51.83 39.01 3.61 5.7700000000000005
7560 51.80999999999999 39.019999999999996 3.61 5.779999999999999
7584 51.80999999999999 39.01 3.5999999999999996 5.8
7608 51.839999999999996 39.0 3.58 5.8
7632 51.800000000000004 39.03 3.5900000000000003 5.8
7656 51.800000000000004 39.01 3.61 5.8
7680 51.78 39.04 3.5999999999999996 5.8
7704 51.78999999999999 39.04 3.5900000000000007 5.8
7728 51.78999999999999 39.03 3.5999999999999996 5.8
7752 51.78 39.019999999999996 3.61 5.8100000000000005
7776 51.78999999999999 39.010000000000005 3.61 5.8100000000000005
7800 51.78999999999999 39.0 3.6199999999999997 5.8100000000000005
7824 51.800000000000004 38.970000000000006 3.64 5.8100000000000005
7848 51.78999999999999 38.96 3.64 5.83
7872 51.800000000000004 38.95 3.64 5.83
7896 51.82000000000001 38.95 3.6199999999999997 5.83
7920 51.82000000000001 38.93 3.64 5.83
7944 51.82 38.93 3.63 5.840000000000001
7968 51.839999999999996 38.93 3.61 5.840000000000001
7992 51.83 38.940000000000005 3.61 5.840000000000001
8016 51.839999999999996 38.940000000000005 3.5999999999999996 5.840000000000001
8040 51.849999999999994 38.940000000000005 3.5900000000000003 5.840000000000001
8064 51.849999999999994 38.949999999999996 3.58 5.840000000000001
8088 51.849999999999994 38.940000000000005 3.58 5.85
8112 51.849999999999994 38.93 3.58 5.86
8136 51.86999999999999 38.919999999999995 3.54 5.89
8160 51.86999999999999 38.9 3.56 5.89
8184 51.88999999999999 38.88999999999999 3.54 5.899999999999999
8208 51.879999999999995 38.879999999999995 3.56 5.899999999999999
8232 51.89 38.86 3.56 5.91
8256 51.879999999999995 38.86 3.55 5.93
8280 51.910000000000004 38.83 3.55 5.93
8304 51.910000000000004 38.83 3.55 5.93
8328 51.92 38.82 3.55 5.93
8352 51.92 38.81 3.55 5.939999999999999
8376 51.89 38.81 3.5699999999999994 5.949999999999999
8400 51.86999999999999 38.82 3.58 5.949999999999999
8424 51.879999999999995 38.81 3.58 5.949999999999999
8448 51.879999999999995 38.79 3.5999999999999996 5.949999999999999
8472 51.879999999999995 38.79 3.5999999999999996 5.949999999999999
8496 51.879999999999995 38.78 3.61 5.949999999999999
8520 51.91000000000001 38.79 3.5699999999999994 5.949999999999999
8544 51.9 38.79 3.5699999999999994 5.959999999999999
8568 51.9 38.79 3.56 5.97
8592 51.910000000000004 38.77 3.56 5.979999999999999
8616 51.89 38.75000000000001 3.5900000000000003 5.989999999999999
8640 51.9 38.74 3.5900000000000003 5.989999999999999
8664 51.9 38.730000000000004 3.5999999999999996 5.989999999999999
