Day(35.0%TBInfectionONLYPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
4872 26.02 56.44 10.88 6.78
4896 26.080000000000002 56.44 10.819999999999999 6.78
4920 26.159999999999993 56.45 10.729999999999999 6.78
4944 26.189999999999998 56.44 10.700000000000001 6.789999999999999
4968 26.240000000000002 56.43 10.66 6.789999999999999
4992 26.320000000000004 56.410000000000004 10.59 6.799999999999999
5016 26.439999999999998 56.39999999999999 10.469999999999999 6.81
5040 26.480000000000004 56.38999999999999 10.43 6.819999999999999
5064 26.529999999999998 56.37 10.389999999999999 6.83
5088 26.580000000000005 56.34999999999999 10.35 6.839999999999999
5112 26.61 56.359999999999985 10.29 6.859999999999999
5136 26.640000000000004 56.360000000000014 10.26 6.859999999999999
5160 26.749999999999996 56.360000000000014 10.149999999999999 6.859999999999999
5184 26.76 56.36 10.14 6.859999999999999
5208 26.849999999999994 56.37000000000001 10.040000000000001 6.859999999999999
5232 26.919999999999998 56.37000000000001 9.969999999999999 6.859999999999999
5256 26.99 56.35000000000001 9.889999999999999 6.889999999999999
5280 27.13 56.35000000000001 9.739999999999998 6.8999999999999995
5304 27.159999999999997 56.31999999999999 9.729999999999999 6.909999999999999
5328 27.260000000000005 56.309999999999995 9.619999999999997 6.93
5352 27.310000000000002 56.31 9.569999999999999 6.93
5376 27.310000000000002 56.28999999999999 9.579999999999998 6.939999999999999
5400 27.460000000000008 56.269999999999996 9.45 6.939999999999999
5424 27.480000000000004 56.26 9.439999999999998 6.939999999999999
5448 27.6 56.250000000000014 9.319999999999999 6.949999999999999
5472 27.72 56.26 9.169999999999998 6.97
5496 27.800000000000004 56.26 9.079999999999998 6.98
5520 27.91 56.25 8.979999999999997 6.98
5544 27.98 56.230000000000004 8.929999999999998 6.98
5568 27.999999999999996 56.26 8.869999999999997 6.989999999999999
5592 28.089999999999993 56.250000000000014 8.759999999999998 7.02
5616 28.15 56.22999999999999 8.709999999999999 7.03
5640 28.29 56.220000000000006 8.579999999999997 7.03
5664 28.33 56.209999999999994 8.539999999999997 7.039999999999999
5688 28.39999999999999 56.18 8.489999999999998 7.049999999999999
5712 28.499999999999996 56.18 8.379999999999999 7.06
5736 28.449999999999996 56.2 8.409999999999998 7.06
5760 28.549999999999997 56.2 8.299999999999999 7.07
5784 28.57 56.18000000000001 8.290000000000001 7.08
5808 28.560000000000002 56.18000000000001 8.290000000000001 7.089999999999999
5832 28.660000000000004 56.18000000000001 8.19 7.089999999999999
5856 28.860000000000003 56.169999999999995 7.99 7.1
5880 28.88 56.169999999999995 7.960000000000001 7.109999999999999
5904 29.000000000000004 56.16 7.84 7.12
5928 29.07 56.14999999999999 7.77 7.13
5952 29.190000000000005 56.13 7.649999999999999 7.1499999999999995
5976 29.26000000000001 56.10000000000001 7.6 7.16
6000 29.409999999999997 56.07 7.48 7.16
6024 29.51 56.08 7.359999999999999 7.17
6048 29.62 56.089999999999996 7.23 7.180000000000001
6072 29.65 56.07 7.22 7.180000000000001
6096 29.73 56.04 7.170000000000002 7.180000000000001
6120 29.89 56.03 7.000000000000001 7.199999999999999
6144 29.89 56.010000000000005 7.010000000000001 7.209999999999998
6168 29.99 55.99000000000001 6.910000000000001 7.229999999999999
6192 30.06 55.99000000000001 6.84 7.229999999999999
6216 30.119999999999997 56.02 6.75 7.229999999999999
6240 30.129999999999995 56.03 6.7 7.26
