Day(100.0%OfPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
2904 44.690000000000005 42.17000000000001 8.389999999999999 4.93
2928 44.650000000000006 42.21 8.339999999999998 4.9799999999999995
2952 44.650000000000006 42.21 8.309999999999999 5.01
2976 44.650000000000006 42.190000000000005 8.259999999999998 5.08
3000 44.64 42.18 8.259999999999998 5.1000000000000005
3024 44.620000000000005 42.2 8.169999999999998 5.19
3048 44.620000000000005 42.190000000000005 8.109999999999998 5.26
3072 44.620000000000005 42.190000000000005 8.049999999999999 5.32
3096 44.59000000000001 42.21 7.979999999999999 5.4
3120 44.59000000000001 42.18 7.9799999999999995 5.43
3144 44.59000000000001 42.15000000000001 7.959999999999999 5.48
3168 44.59000000000001 42.120000000000005 7.899999999999999 5.57
3192 44.580000000000005 42.13000000000001 7.84 5.63
3216 44.580000000000005 42.120000000000005 7.799999999999999 5.680000000000001
3240 44.559999999999995 42.14000000000001 7.77 5.710000000000001
3264 44.559999999999995 42.120000000000005 7.759999999999999 5.74
3288 44.55 42.120000000000005 7.719999999999999 5.790000000000001
3312 44.54 42.10000000000001 7.709999999999999 5.83
3336 44.53 42.11 7.649999999999999 5.89
3360 44.53 42.09 7.619999999999999 5.940000000000001
3384 44.53 42.040000000000006 7.629999999999999 5.98
3408 44.53 42.03 7.579999999999999 6.039999999999999
3432 44.53 42.03 7.549999999999998 6.070000000000001
3456 44.5 42.06 7.4799999999999995 6.140000000000001
3480 44.5 42.06 7.399999999999999 6.2200000000000015
3504 44.440000000000005 42.11 7.369999999999999 6.260000000000002
3528 44.43 42.1 7.369999999999999 6.280000000000001
3552 44.419999999999995 42.1 7.299999999999998 6.36
3576 44.41 42.1 7.279999999999999 6.39
3600 44.41 42.09 7.239999999999999 6.440000000000001
3624 44.41 42.08 7.199999999999998 6.49
3648 44.41 42.08 7.159999999999998 6.529999999999999
3672 44.39999999999999 42.08 7.129999999999999 6.570000000000001
3696 44.379999999999995 42.1 7.099999999999998 6.6000000000000005
3720 44.36999999999999 42.089999999999996 7.03 6.69
3744 44.36999999999999 42.089999999999996 6.98 6.740000000000002
3768 44.36999999999999 42.089999999999996 6.959999999999999 6.7600000000000025
3792 44.36 42.059999999999995 6.939999999999999 6.820000000000001
3816 44.36 42.05 6.8999999999999995 6.870000000000001
3840 44.34 42.059999999999995 6.88 6.9
3864 44.31999999999999 42.06999999999999 6.870000000000001 6.920000000000001
3888 44.31 42.059999999999995 6.8500000000000005 6.960000000000001
3912 44.31 42.059999999999995 6.819999999999999 6.99
3936 44.29 42.05 6.799999999999999 7.039999999999999
3960 44.279999999999994 42.06 6.739999999999998 7.1
3984 44.279999999999994 42.06 6.69 7.149999999999998
4008 44.279999999999994 42.06 6.639999999999999 7.199999999999999
4032 44.279999999999994 42.05 6.58 7.269999999999999
4056 44.279999999999994 41.99 6.550000000000001 7.359999999999999
4080 44.279999999999994 41.980000000000004 6.52 7.3999999999999995
4104 44.27 41.980000000000004 6.510000000000001 7.42
4128 44.27 41.980000000000004 6.4799999999999995 7.449999999999998
4152 44.27 41.980000000000004 6.43 7.499999999999998
4176 44.27 41.980000000000004 6.39 7.539999999999998
4200 44.25 41.97 6.370000000000001 7.59
4224 44.25 41.959999999999994 6.329999999999999 7.639999999999998
4248 44.24 41.959999999999994 6.279999999999999 7.699999999999998
4272 44.22 41.98 6.2200000000000015 7.759999999999997
4296 44.22 41.98 6.160000000000001 7.819999999999998
4320 44.22 41.959999999999994 6.139999999999999 7.859999999999998
4344 44.2 41.97 6.11 7.899999999999999
4368 44.18 41.980000000000004 6.11 7.909999999999999
4392 44.160000000000004 42.00000000000001 6.039999999999999 7.979999999999999
4416 44.13999999999999 42.00000000000001 6.03 8.01
4440 44.13999999999999 41.99 6.03 8.019999999999998
4464 44.13999999999999 41.94 6.05 8.049999999999999
4488 44.1 41.96999999999999 6.05 8.059999999999997
4512 44.07 41.96999999999999 6.069999999999999 8.07
4536 44.07 41.959999999999994 6.080000000000001 8.07
4560 44.06 41.97 6.0600000000000005 8.09
4584 44.06 41.97 6.05 8.1
4608 44.06 41.97 6.05 8.1
4632 44.06 41.95 6.0600000000000005 8.11
4656 44.06 41.95 6.05 8.119999999999997
4680 44.04 41.959999999999994 6.0600000000000005 8.119999999999997
4704 44.01 41.97 6.069999999999999 8.129999999999999
4728 44.01 41.959999999999994 6.059999999999999 8.149999999999999
4752 44.00000000000001 41.94 6.069999999999999 8.17
4776 44.00000000000001 41.92999999999999 6.059999999999999 8.19
4800 44.00000000000001 41.92 6.069999999999999 8.19
4824 44.00000000000001 41.91 6.059999999999999 8.209999999999999
4848 43.99 41.89 6.079999999999998 8.219999999999999
4872 43.95 41.92999999999999 6.069999999999999 8.23
4896 43.95 41.92999999999999 6.05 8.249999999999998
4920 43.94 41.92 6.069999999999999 8.249999999999998
4944 43.870000000000005 41.959999999999994 6.05 8.299999999999999
4968 43.84 41.97 6.069999999999999 8.299999999999999
4992 43.830000000000005 41.980000000000004 6.0600000000000005 8.309999999999999
5016 43.82 41.95 6.09 8.319999999999999
5040 43.82 41.94 6.080000000000001 8.339999999999998
5064 43.82 41.93000000000001 6.080000000000001 8.35
5088 43.81 41.91000000000001 6.080000000000001 8.379999999999999
5112 43.81 41.91000000000001 6.080000000000001 8.379999999999999
5136 43.78 41.91000000000001 6.09 8.399999999999999
5160 43.78 41.91000000000001 6.059999999999999 8.43
5184 43.78 41.91000000000001 6.05 8.44
5208 43.760000000000005 41.93000000000001 6.039999999999999 8.45
5232 43.75 41.91 6.059999999999999 8.459999999999997
5256 43.74000000000001 41.91999999999999 6.039999999999999 8.479999999999999
5280 43.74000000000001 41.91 6.03 8.5
5304 43.74000000000001 41.91 6.020000000000001 8.509999999999998
5328 43.730000000000004 41.89999999999999 6.03 8.519999999999998
5352 43.730000000000004 41.870000000000005 6.05 8.53
5376 43.72 41.879999999999995 6.03 8.549999999999999
5400 43.71000000000001 41.870000000000005 6.039999999999999 8.559999999999999
5424 43.71000000000001 41.870000000000005 6.01 8.59
5448 43.71000000000001 41.870000000000005 5.989999999999999 8.609999999999998
5472 43.71000000000001 41.86 5.949999999999999 8.659999999999998
5496 43.71000000000001 41.839999999999996 5.959999999999999 8.669999999999998
5520 43.71000000000001 41.83 5.97 8.669999999999998
5544 43.69 41.82 5.97 8.7
5568 43.65 41.81 5.989999999999999 8.729999999999999
5592 43.65 41.800000000000004 6.000000000000001 8.729999999999999
5616 43.64 41.800000000000004 6.000000000000001 8.739999999999998
5640 43.64 41.790000000000006 6.000000000000001 8.75
5664 43.64 41.78 5.989999999999999 8.769999999999998
5688 43.620000000000005 41.77000000000001 5.989999999999999 8.799999999999999
5712 43.58 41.78 6.019999999999999 8.799999999999999
5736 43.57 41.78 5.999999999999998 8.829999999999998
5760 43.56 41.77000000000001 6.019999999999999 8.829999999999998
5784 43.56 41.77000000000001 6.019999999999999 8.829999999999998
5808 43.550000000000004 41.78 6.01 8.84
5832 43.54 41.78 6.01 8.85
5856 43.53000000000001 41.78000000000001 6.020000000000001 8.85
5880 43.52 41.77000000000001 6.01 8.879999999999999
5904 43.52 41.75000000000001 6.03 8.879999999999999
5928 43.50000000000001 41.75 6.05 8.879999999999999
5952 43.50000000000001 41.74 6.0600000000000005 8.879999999999999
5976 43.50000000000001 41.74 6.0600000000000005 8.879999999999999
6000 43.49 41.730000000000004 6.069999999999999 8.889999999999999
6024 43.49 41.72 6.0600000000000005 8.909999999999998
6048 43.46 41.75 6.0600000000000005 8.909999999999998
6072 43.44 41.760000000000005 6.040000000000001 8.94
6096 43.44 41.74 6.05 8.95
6120 43.44 41.730000000000004 6.05 8.959999999999999
6144 43.43 41.74 6.03 8.979999999999999
6168 43.43 41.74 6.01 9.0
6192 43.43 41.74 5.989999999999999 9.019999999999998
6216 43.43 41.74 5.979999999999999 9.029999999999998
6240 43.43 41.70000000000001 5.97 9.079999999999998
6264 43.43 41.70000000000001 5.97 9.079999999999998
6288 43.410000000000004 41.720000000000006 5.97 9.079999999999998
6312 43.410000000000004 41.70000000000001 5.979999999999999 9.089999999999998
6336 43.4 41.70000000000001 5.960000000000001 9.119999999999997
6360 43.4 41.680000000000014 5.960000000000001 9.139999999999999
6384 43.4 41.67000000000001 5.97 9.139999999999999
6408 43.38999999999999 41.660000000000004 5.98 9.149999999999999
6432 43.38999999999999 41.65 5.989999999999999 9.149999999999999
6456 43.38 41.64 6.000000000000001 9.159999999999998
6480 43.38 41.64 5.97 9.189999999999998
6504 43.38 41.61 5.989999999999999 9.2
6528 43.38 41.61 5.98 9.209999999999999
6552 43.38 41.6 5.989999999999999 9.209999999999999
6576 43.38 41.580000000000005 6.01 9.209999999999999
6600 43.38 41.580000000000005 6.000000000000001 9.219999999999997
6624 43.37 41.589999999999996 5.989999999999999 9.229999999999999
6648 43.36000000000001 41.580000000000005 6.000000000000001 9.239999999999998
6672 43.36000000000001 41.56000000000001 6.020000000000001 9.239999999999998
6696 43.28 41.6 6.0600000000000005 9.239999999999998
6720 43.25 41.63 6.040000000000001 9.259999999999998
6744 43.25 41.63 6.03 9.269999999999998
6768 43.24 41.599999999999994 6.069999999999999 9.269999999999998
6792 43.24 41.599999999999994 6.069999999999999 9.269999999999998
6816 43.21 41.629999999999995 6.05 9.29
6840 43.21 41.61 6.059999999999999 9.299999999999999
6864 43.199999999999996 41.61 6.059999999999999 9.309999999999999
6888 43.19 41.59 6.09 9.309999999999999
6912 43.19 41.59 6.09 9.309999999999999
6936 43.17999999999999 41.59 6.099999999999999 9.309999999999999
6960 43.169999999999995 41.6 6.099999999999999 9.309999999999999
6984 43.169999999999995 41.559999999999995 6.13 9.319999999999999
7008 43.169999999999995 41.550000000000004 6.13 9.329999999999998
7032 43.14999999999999 41.53000000000001 6.17 9.329999999999998
7056 43.14 41.52 6.180000000000001 9.339999999999998
7080 43.14 41.51 6.17 9.36
7104 43.10000000000001 41.52 6.15 9.409999999999998
7128 43.09 41.52 6.140000000000001 9.429999999999998
7152 43.080000000000005 41.49 6.180000000000001 9.429999999999998
7176 43.059999999999995 41.49 6.200000000000001 9.429999999999998
7200 43.019999999999996 41.49 6.23 9.439999999999998
7224 43.00999999999999 41.49999999999999 6.2200000000000015 9.45
7248 43.00999999999999 41.49999999999999 6.21 9.459999999999999
7272 43.00999999999999 41.48 6.2200000000000015 9.469999999999997
7296 43.00999999999999 41.43 6.25 9.489999999999998
7320 43.00999999999999 41.419999999999995 6.239999999999999 9.51
7344 42.980000000000004 41.419999999999995 6.259999999999999 9.519999999999998
7368 42.980000000000004 41.419999999999995 6.25 9.529999999999998
7392 42.94 41.44 6.259999999999999 9.54
7416 42.94 41.44 6.259999999999999 9.54
7440 42.93 41.43 6.2700000000000005 9.549999999999999
7464 42.93 41.43 6.259999999999999 9.559999999999999
7488 42.93 41.42 6.259999999999999 9.569999999999999
7512 42.910000000000004 41.42 6.259999999999999 9.589999999999998
7536 42.910000000000004 41.410000000000004 6.25 9.61
7560 42.910000000000004 41.39000000000001 6.25 9.629999999999999
7584 42.910000000000004 41.38 6.23 9.659999999999998
7608 42.87 41.400000000000006 6.23 9.679999999999998
7632 42.87 41.400000000000006 6.2200000000000015 9.689999999999998
7656 42.87 41.39000000000001 6.2200000000000015 9.7
7680 42.87 41.370000000000005 6.23 9.709999999999999
7704 42.87 41.370000000000005 6.23 9.709999999999999
7728 42.86000000000001 41.36 6.25 9.709999999999999
7752 42.86000000000001 41.349999999999994 6.25 9.719999999999999
7776 42.84 41.35000000000001 6.23 9.76
7800 42.84 41.34 6.23 9.769999999999998
7824 42.84 41.32000000000001 6.25 9.769999999999998
7848 42.84 41.31 6.259999999999999 9.769999999999998
7872 42.84 41.28 6.279999999999999 9.779999999999998
7896 42.800000000000004 41.3 6.29 9.79
7920 42.790000000000006 41.290000000000006 6.299999999999999 9.799999999999999
7944 42.790000000000006 41.26 6.319999999999999 9.809999999999999
7968 42.790000000000006 41.25 6.299999999999999 9.839999999999998
7992 42.790000000000006 41.25 6.299999999999999 9.839999999999998
8016 42.78000000000001 41.24 6.3100000000000005 9.85
8040 42.77 41.25 6.280000000000001 9.879999999999999
8064 42.77 41.25 6.2700000000000005 9.889999999999999
8088 42.77 41.24 6.239999999999999 9.929999999999998
8112 42.75000000000001 41.25 6.23 9.95
8136 42.75000000000001 41.25 6.200000000000001 9.979999999999999
8160 42.75000000000001 41.25 6.1899999999999995 9.989999999999998
8184 42.75000000000001 41.25 6.179999999999999 10.0
8208 42.71 41.269999999999996 6.1899999999999995 10.01
8232 42.7 41.269999999999996 6.1899999999999995 10.02
8256 42.67 41.28999999999999 6.199999999999998 10.02
8280 42.67 41.28 6.199999999999998 10.03
8304 42.67 41.28 6.17 10.059999999999999
8328 42.66000000000001 41.260000000000005 6.159999999999998 10.100000000000001
8352 42.66000000000001 41.25 6.17 10.100000000000001
8376 42.620000000000005 41.260000000000005 6.160000000000001 10.14
8400 42.620000000000005 41.260000000000005 6.139999999999999 10.16
8424 42.620000000000005 41.25 6.140000000000001 10.169999999999998
8448 42.59 41.260000000000005 6.159999999999998 10.169999999999998
8472 42.58 41.269999999999996 6.15 10.18
8496 42.58 41.24 6.17 10.19
8520 42.56 41.24 6.179999999999999 10.200000000000001
8544 42.55 41.23 6.199999999999998 10.200000000000001
8568 42.489999999999995 41.24 6.240000000000001 10.209999999999999
8592 42.489999999999995 41.23 6.240000000000001 10.22
8616 42.489999999999995 41.23 6.23 10.229999999999999
8640 42.489999999999995 41.209999999999994 6.23 10.25
8664 42.489999999999995 41.19 6.23 10.269999999999998
8688 42.489999999999995 41.19 6.219999999999999 10.280000000000001
8712 42.489999999999995 41.17999999999999 6.219999999999999 10.29
8736 42.480000000000004 41.17999999999999 6.23 10.29
8760 42.480000000000004 41.16 6.25 10.29
8784 42.480000000000004 41.14 6.2700000000000005 10.29
8808 42.480000000000004 41.14 6.260000000000002 10.3
8832 42.47 41.150000000000006 6.260000000000002 10.3
8856 42.46 41.14000000000001 6.2700000000000005 10.31
8880 42.46 41.099999999999994 6.299999999999999 10.32
8904 42.449999999999996 41.099999999999994 6.2700000000000005 10.36
8928 42.42999999999999 41.11 6.260000000000002 10.38
8952 42.42999999999999 41.07 6.29 10.389999999999999
8976 42.400000000000006 41.07 6.299999999999999 10.41
9000 42.300000000000004 41.14000000000001 6.319999999999999 10.42
9024 42.300000000000004 41.11000000000001 6.339999999999998 10.43
9048 42.26 41.14000000000001 6.339999999999998 10.440000000000001
9072 42.24 41.150000000000006 6.329999999999999 10.459999999999999
9096 42.21 41.16000000000001 6.339999999999998 10.469999999999999
9120 42.21 41.16000000000001 6.3100000000000005 10.499999999999998
9144 42.2 41.150000000000006 6.300000000000002 10.53
9168 42.2 41.13 6.3100000000000005 10.539999999999997
9192 42.18 41.14000000000001 6.300000000000002 10.559999999999999
9216 42.18 41.120000000000005 6.3100000000000005 10.569999999999999
9240 42.160000000000004 41.14000000000001 6.3100000000000005 10.569999999999999
9264 42.15 41.14000000000001 6.3100000000000005 10.579999999999998
9288 42.15 41.13 6.29 10.61
9312 42.15 41.12000000000001 6.29 10.62
9336 42.14000000000001 41.12000000000001 6.280000000000001 10.639999999999999
9360 42.14000000000001 41.11000000000001 6.280000000000001 10.65
9384 42.11 41.14000000000001 6.2700000000000005 10.659999999999998
9408 42.09 41.150000000000006 6.280000000000001 10.659999999999998
9432 42.09 41.14000000000001 6.280000000000001 10.669999999999998
9456 42.09 41.120000000000005 6.299999999999999 10.669999999999998
9480 42.08 41.11 6.2700000000000005 10.719999999999999
9504 42.08 41.089999999999996 6.280000000000001 10.729999999999999
9528 42.08 41.089999999999996 6.260000000000002 10.75
9552 42.07000000000001 41.07999999999999 6.280000000000001 10.75
9576 42.06 41.089999999999996 6.260000000000002 10.77
9600 42.06 41.07999999999999 6.25 10.79
9624 42.06 41.07999999999999 6.240000000000001 10.799999999999999
9648 42.06 41.07999999999999 6.240000000000001 10.799999999999999
9672 42.06 41.07 6.23 10.819999999999999
9696 42.06 41.07 6.21 10.839999999999998
9720 42.040000000000006 41.07999999999999 6.21 10.85
9744 42.040000000000006 41.050000000000004 6.240000000000001 10.85
9768 42.02 41.050000000000004 6.240000000000001 10.87
9792 42.02 41.04 6.21 10.91
9816 42.01 41.050000000000004 6.180000000000001 10.939999999999998
9840 42.01 41.04 6.180000000000001 10.95
9864 42.01 41.03 6.1899999999999995 10.95
9888 41.99 41.04 6.1899999999999995 10.959999999999999
9912 41.94 41.080000000000005 6.1899999999999995 10.969999999999999
9936 41.94 41.06000000000001 6.21 10.969999999999999
9960 41.94 41.06000000000001 6.199999999999998 10.98
9984 41.94 41.050000000000004 6.21 10.98
10008 41.92999999999999 41.04 6.2200000000000015 10.99
10032 41.92999999999999 41.03 6.219999999999999 11.000000000000002
10056 41.92999999999999 41.03 6.21 11.01
10080 41.91 41.05 6.21 11.01
10104 41.91 41.03 6.200000000000001 11.04
10128 41.89999999999999 41.019999999999996 6.2200000000000015 11.04
10152 41.89999999999999 40.99 6.240000000000001 11.05
10176 41.879999999999995 41.010000000000005 6.23 11.06
10200 41.86 41.019999999999996 6.219999999999999 11.080000000000002
10224 41.86 41.019999999999996 6.21 11.09
10248 41.81999999999999 41.05 6.199999999999998 11.110000000000001
10272 41.81999999999999 41.04 6.21 11.110000000000001
10296 41.81 41.04 6.199999999999998 11.129999999999999
10320 41.81 41.02 6.219999999999999 11.129999999999999
10344 41.81 41.010000000000005 6.23 11.129999999999999
10368 41.81 41.010000000000005 6.23 11.129999999999999
10392 41.81 41.010000000000005 6.23 11.129999999999999
10416 41.81 41.010000000000005 6.23 11.129999999999999
10440 41.81 41.010000000000005 6.21 11.15
10464 41.81 41.010000000000005 6.21 11.15
10488 41.81 41.0 6.199999999999998 11.17
10512 41.81 41.0 6.199999999999998 11.17
10536 41.78999999999999 41.010000000000005 6.1899999999999995 11.19
10560 41.78 41.02 6.17 11.21
10584 41.709999999999994 41.07 6.180000000000001 11.219999999999999
10608 41.709999999999994 41.050000000000004 6.180000000000001 11.239999999999998
10632 41.709999999999994 41.04 6.179999999999999 11.25
10656 41.709999999999994 41.03000000000001 6.179999999999999 11.26
10680 41.709999999999994 41.02 6.1899999999999995 11.26
10704 41.709999999999994 41.0 6.21 11.26
