Day(6.4%TBDiseaseONLYPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
2640 44.510000000000005 41.92 8.959999999999999 4.789999999999999
2664 44.500000000000014 41.92999999999999 8.9 4.85
2688 44.49000000000001 41.92999999999999 8.87 4.889999999999999
2712 44.49000000000001 41.900000000000006 8.819999999999999 4.97
2736 44.48 41.89 8.729999999999999 5.08
2760 44.48 41.870000000000005 8.68 5.15
2784 44.48 41.870000000000005 8.659999999999998 5.17
2808 44.48 41.839999999999996 8.62 5.24
2832 44.47 41.82 8.579999999999998 5.3100000000000005
2856 44.46 41.790000000000006 8.579999999999998 5.3500000000000005
2880 44.46 41.790000000000006 8.549999999999999 5.38
2904 44.46 41.769999999999996 8.54 5.41
2928 44.46 41.760000000000005 8.509999999999998 5.450000000000001
2952 44.46 41.75 8.479999999999999 5.49
2976 44.43 41.730000000000004 8.45 5.57
3000 44.400000000000006 41.72 8.429999999999998 5.63
3024 44.379999999999995 41.730000000000004 8.419999999999998 5.650000000000001
3048 44.36 41.74 8.379999999999999 5.700000000000001
3072 44.36 41.74 8.339999999999998 5.74
3096 44.36 41.74 8.29 5.790000000000001
3120 44.36 41.71 8.279999999999998 5.83
3144 44.35000000000001 41.720000000000006 8.249999999999998 5.86
3168 44.34 41.730000000000004 8.19 5.920000000000001
3192 44.34 41.730000000000004 8.149999999999999 5.960000000000001
3216 44.34 41.730000000000004 8.079999999999998 6.03
3240 44.34 41.720000000000006 8.01 6.110000000000001
3264 44.34 41.71 7.9799999999999995 6.150000000000001
3288 44.34 41.699999999999996 7.9399999999999995 6.200000000000001
3312 44.33 41.71 7.869999999999999 6.2700000000000005
3336 44.32000000000001 41.71 7.869999999999999 6.280000000000001
3360 44.32000000000001 41.699999999999996 7.799999999999999 6.360000000000002
3384 44.31 41.68 7.79 6.400000000000001
3408 44.28000000000001 41.699999999999996 7.759999999999999 6.440000000000001
3432 44.28000000000001 41.68 7.739999999999999 6.480000000000001
3456 44.25000000000001 41.71 7.6899999999999995 6.529999999999999
3480 44.24 41.68 7.6899999999999995 6.570000000000001
3504 44.230000000000004 41.68 7.659999999999998 6.61
3528 44.2 41.699999999999996 7.629999999999999 6.65
3552 44.2 41.699999999999996 7.599999999999999 6.6800000000000015
3576 44.2 41.68 7.599999999999999 6.700000000000002
3600 44.2 41.669999999999995 7.559999999999999 6.75
3624 44.2 41.669999999999995 7.519999999999999 6.79
3648 44.2 41.660000000000004 7.449999999999998 6.870000000000001
3672 44.18 41.65 7.469999999999999 6.88
3696 44.160000000000004 41.66 7.46 6.8999999999999995
3720 44.160000000000004 41.66 7.429999999999999 6.93
3744 44.13 41.669999999999995 7.42 6.960000000000003
3768 44.12 41.669999999999995 7.360000000000001 7.03
3792 44.12 41.65 7.3199999999999985 7.090000000000001
3816 44.12 41.65 7.2700000000000005 7.139999999999999
3840 44.080000000000005 41.68 7.23 7.19
