Day(90%HIV+Population) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
3864 25.200000000000006 10.209999999999999 12.2 52.540000000000006
3888 25.200000000000006 10.209999999999999 11.910000000000002 52.83
3912 25.19 10.12 11.56 53.28000000000001
3936 25.16 9.979999999999999 11.39 53.620000000000005
3960 25.129999999999995 9.979999999999999 11.079999999999998 53.959999999999994
3984 25.129999999999995 9.979999999999999 10.69 54.35000000000001
4008 25.119999999999997 9.979999999999999 10.42 54.63000000000001
4032 25.1 9.979999999999999 10.129999999999999 54.94
4056 25.09 9.86 9.959999999999999 55.24000000000001
4080 25.060000000000006 9.819999999999999 9.629999999999999 55.64
4104 25.05 9.809999999999999 9.279999999999998 56.010000000000005
4128 25.05 9.809999999999999 8.839999999999998 56.45
4152 25.040000000000003 9.809999999999999 8.519999999999998 56.779999999999994
4176 25.040000000000003 9.769999999999998 8.18 57.16000000000001
4200 24.990000000000002 9.669999999999998 7.84 57.64999999999999
4224 24.990000000000002 9.659999999999998 7.539999999999999 57.96
4248 24.97 9.639999999999999 7.22 58.32000000000001
4272 24.97 9.639999999999999 6.859999999999999 58.68
4296 24.959999999999997 9.61 6.639999999999999 58.93999999999998
4320 24.95 9.529999999999998 6.41 59.260000000000005
4344 24.93 9.469999999999997 5.989999999999999 59.760000000000005
4368 24.91 9.459999999999999 5.670000000000001 60.11000000000001
4392 24.9 9.459999999999999 5.390000000000001 60.399999999999984
4416 24.88 9.459999999999999 5.050000000000001 60.75999999999999
4440 24.87 9.439999999999998 4.8999999999999995 60.94
4464 24.85 9.319999999999999 4.869999999999999 61.109999999999985
4488 24.820000000000004 9.29 4.8 61.239999999999995
4512 24.820000000000004 9.29 4.6899999999999995 61.35
4536 24.759999999999998 9.309999999999999 4.67 61.41
4560 24.759999999999998 9.309999999999999 4.609999999999999 61.47
4584 24.71 9.279999999999998 4.65 61.51000000000001
4608 24.699999999999996 9.189999999999998 4.7 61.559999999999995
4632 24.689999999999998 9.159999999999998 4.6899999999999995 61.61
4656 24.689999999999998 9.159999999999998 4.62 61.67999999999999
4680 24.689999999999998 9.159999999999998 4.55 61.75000000000001
4704 24.68 9.159999999999998 4.47 61.84
4728 24.68 9.04 4.55 61.88
4752 24.68 8.999999999999998 4.539999999999999 61.92999999999999
4776 24.68 8.999999999999998 4.459999999999999 62.01
4800 24.68 8.999999999999998 4.3999999999999995 62.07
4824 24.68 8.999999999999998 4.35 62.12
4848 24.67 8.999999999999998 4.289999999999999 62.19
4872 24.64 8.87 4.439999999999999 62.2
4896 24.64 8.849999999999998 4.3999999999999995 62.260000000000005
4920 24.64 8.849999999999998 4.369999999999999 62.29
4944 24.64 8.849999999999998 4.319999999999999 62.339999999999996
4968 24.64 8.849999999999998 4.279999999999999 62.38
4992 24.630000000000003 8.809999999999999 4.26 62.45
5016 24.630000000000003 8.739999999999998 4.2700000000000005 62.51
5040 24.610000000000003 8.739999999999998 4.16 62.63999999999999
5064 24.610000000000003 8.739999999999998 4.09 62.71
5088 24.610000000000003 8.739999999999998 4.029999999999999 62.77
5112 24.6 8.729999999999997 3.9799999999999995 62.839999999999996
5136 24.6 8.639999999999997 4.029999999999999 62.87999999999999
5160 24.590000000000007 8.609999999999998 4.05 62.9
5184 24.580000000000002 8.609999999999998 4.05 62.91
5208 24.56 8.609999999999998 3.9999999999999996 62.97999999999999
5232 24.56 8.609999999999998 3.9299999999999993 63.05
5256 24.56 8.579999999999997 3.93 63.080000000000005
5280 24.56 8.459999999999997 4.0 63.129999999999995
5304 24.549999999999997 8.429999999999998 3.9600000000000004 63.21000000000001
5328 24.549999999999997 8.429999999999998 3.9400000000000004 63.23000000000001
5352 24.549999999999997 8.429999999999998 3.9 63.27
5376 24.54 8.409999999999998 3.88 63.319999999999986
5400 24.54 8.35 3.8900000000000006 63.36999999999999
5424 24.529999999999998 8.249999999999998 3.9600000000000004 63.40999999999999
5448 24.529999999999998 8.249999999999998 3.88 63.49
5472 24.52 8.249999999999998 3.83 63.550000000000004
5496 24.509999999999994 8.249999999999998 3.8 63.59000000000001
5520 24.499999999999996 8.239999999999998 3.8 63.61
5544 24.459999999999997 8.149999999999999 3.9 63.64000000000001
5568 24.45 8.129999999999999 3.91 63.660000000000004
5592 24.410000000000004 8.129999999999999 3.91 63.7
5616 24.39 8.129999999999999 3.88 63.74999999999999
5640 24.39 8.129999999999999 3.85 63.779999999999994
5664 24.39 8.120000000000001 3.7800000000000002 63.86000000000001
5688 24.36 8.03 3.85 63.91
5712 24.36 8.03 3.81 63.95000000000001
5736 24.349999999999998 8.03 3.7600000000000002 64.01
5760 24.349999999999998 8.03 3.75 64.02
5784 24.349999999999998 8.03 3.6999999999999997 64.07000000000001
5808 24.349999999999998 7.9 3.8 64.1
5832 24.349999999999998 7.849999999999999 3.7900000000000005 64.16
5856 24.34 7.849999999999999 3.7699999999999996 64.19
5880 24.34 7.849999999999999 3.7199999999999998 64.24000000000001
5904 24.34 7.849999999999999 3.6699999999999995 64.29
5928 24.34 7.819999999999999 3.66 64.33
5952 24.330000000000002 7.739999999999999 3.6900000000000004 64.39
5976 24.330000000000002 7.73 3.66 64.42999999999999
6000 24.3 7.73 3.55 64.57
6024 24.3 7.73 3.51 64.61
6048 24.29 7.720000000000001 3.51 64.63000000000001
6072 24.29 7.66 3.4799999999999995 64.72
6096 24.29 7.59 3.5199999999999996 64.75
6120 24.29 7.59 3.49 64.77999999999999
6144 24.29 7.59 3.4499999999999997 64.82
6168 24.29 7.59 3.38 64.89
6192 24.27 7.580000000000001 3.369999999999999 64.92999999999999
6216 24.26 7.57 3.34 64.97999999999999
6240 24.26 7.55 3.3199999999999994 65.02
6264 24.240000000000002 7.55 3.2999999999999994 65.06
6288 24.229999999999997 7.55 3.26 65.11000000000001
6312 24.22 7.55 3.1900000000000004 65.19000000000001
6336 24.209999999999997 7.51 3.2000000000000006 65.23
6360 24.18 7.459999999999998 3.250000000000001 65.26
6384 24.169999999999998 7.459999999999998 3.2000000000000006 65.32000000000001
6408 24.159999999999997 7.459999999999998 3.180000000000001 65.35
6432 24.159999999999997 7.459999999999998 3.150000000000001 65.38000000000001
6456 24.159999999999997 7.459999999999998 3.1200000000000006 65.41000000000001
6480 24.15 7.380000000000001 3.170000000000001 65.45
6504 24.14 7.35 3.16 65.50000000000001
6528 24.13 7.35 3.150000000000001 65.52000000000001
6552 24.12 7.339999999999999 3.1200000000000006 65.57
