"Step","Susciptable","Exposed","LatentTB","LatentExposed","InfectedTB","Recovered","Dead"
"204","23038","8708","16913","4626","1023","0","319"
"205","23004","8742","16912","4645","1023","0","320"
"206","22984","8762","16912","4659","1023","0","324"
"207","22937","8805","16910","4691","1023","0","326"
"208","22891","8851","16910","4716","1023","0","326"
"209","22859","8881","16909","4730","1023","0","329"
"210","22831","8909","16909","4744","1023","0","332"
"211","22808","8929","16907","4753","1023","0","334"
"212","22797","8940","16906","4755","1023","0","335"
"213","22797","8940","16906","4761","1023","0","335"
"214","22795","8942","16906","4761","1023","0","337"
"215","22792","8944","16906","4761","1022","0","337"
"216","22791","8945","16906","4761","1022","0","337"
"217","22786","8948","16905","4762","1023","0","339"
"218","22784","8948","16901","4762","1023","0","345"
"219","22782","8950","16901","4762","1023","0","345"
"220","22780","8952","16901","4763","1023","0","346"
"221","22778","8953","16901","4763","1023","0","347"
"222","22778","8953","16900","4762","1023","0","348"
"223","22775","8956","16899","4764","1023","0","349"
"224","22744","8984","16899","4787","1023","0","351"
"225","22720","9007","16898","4795","1023","0","353"
"226","22701","9026","16898","4806","1023","0","353"
"227","22666","9060","16898","4824","1022","0","355"
"228","22633","9092","16897","4830","1023","0","356"
"229","22608","9117","16896","4843","1023","0","357"
"230","22585","9140","16895","4853","1023","0","358"
"231","22578","9147","16895","4857","1023","0","359"
"232","22513","9211","16895","4888","1023","0","361"
"233","22439","9282","16894","4922","1023","0","363"
"234","22437","9284","16893","4925","1024","0","368"
"235","22426","9291","16892","4929","1024","0","368"
"236","22414","9303","16892","4935","1024","0","368"
"237","22409","9308","16892","4936","1024","0","369"
"238","22409","9308","16891","4937","1024","0","370"
"239","22402","9313","16889","4938","1024","0","373"
"240","22401","9313","16887","4936","1024","0","376"
"241","22400","9314","16886","4936","1025","0","378"
"242","22396","9315","16886","4936","1025","0","379"
"243","22395","9316","16885","4935","1025","0","380"
"244","22394","9317","16883","4936","1026","0","381"
"245","22394","9317","16883","4937","1026","0","387"
"246","22389","9318","16879","4937","1026","0","389"
"247","22378","9329","16878","4942","1027","0","392"
"248","22371","9334","16875","4949","1027","0","394"
"249","22346","9359","16875","4956","1027","0","398"
"250","22331","9370","16875","4964","1027","0","398"
"251","22274","9427","16875","4988","1027","0","400"
"252","22263","9437","16872","4993","1026","0","403"
"253","22246","9454","16872","5003","1026","0","406"
"254","22227","9471","16871","5016","1026","0","407"
"255","22208","9489","16871","5027","1026","0","409"
"256","22166","9530","16870","5043","1026","0","409"
"257","22121","9575","16870","5074","1026","0","413"
"258","22118","9576","16868","5075","1026","0","417"
"259","22108","9583","16867","5077","1026","0","417"
"260","22107","9583","16867","5077","1026","0","418"
"261","22106","9584","16867","5077","1026","0","421"
"262","22100","9588","16866","5077","1026","0","421"
"263","22100","9588","16865","5080","1027","0","421"
"264","22098","9589","16861","5080","1029","0","424"
"265","22095","9591","16861","5080","1029","0","425"
"266","22093","9591","16861","5081","1029","0","427"
"267","22092","9592","16861","5084","1029","0","427"
"268","22090","9592","16860","5085","1029","0","430"
"269","22089","9593","16860","5087","1029","0","432"
"270","22088","9593","16859","5087","1029","0","432"
"271","22087","9594","16859","5088","1029","0","432"
"272","22077","9604","16859","5094","1029","0","434"
"273","22063","9616","16859","5101","1029","0","441"
"274","22028","9645","16858","5128","1029","0","446"
"275","22021","9650","16856","5134","1028","0","446"
"276","21984","9687","16855","5152","1029","0","449"
"277","21943","9726","16852","5174","1029","0","451"
"278","21928","9740","16850","5179","1029","0","454"
"279","21912","9755","16849","5192","1029","0","456"
"280","21868","9799","16848","5216","1030","0","456"
"281","21864","9803","16848","5221","1030","0","458"
"282","21837","9827","16847","5237","1030","0","460"
"283","21831","9833","16846","5240","1031","0","462"
"284","21818","9845","16845","5240","1031","0","462"
"285","21815","9845","16845","5240","1031","0","465"
"286","21815","9845","16845","5240","1031","0","466"
"287","21815","9845","16844","5240","1031","0","466"
"288","21815","9845","16844","5240","1031","0","467"
"289","21814","9845","16843","5239","1032","0","467"
"290","21813","9846","16841","5238","1032","0","469"
"291","21813","9846","16841","5238","1032","0","469"
"292","21813","9846","16839","5238","1034","0","470"
"293","21810","9848","16838","5237","1034","0","471"
"294","21810","9848","16838","5237","1034","0","472"
"295","21808","9850","16836","5237","1035","0","472"
"296","21785","9869","16835","5246","1036","0","476"
"297","21779","9875","16835","5252","1036","0","478"
"298","21762","9891","16834","5261","1036","0","480"
"299","21730","9922","16834","5276","1035","0","482"
"300","21699","9951","16833","5282","1035","0","483"
"301","21684","9965","16833","5289","1035","0","484"
