Geometry,Business,Rent Mean,Rent Str,Fam S D,Mat Woo D,Vil Code,Water,Women,Rent Min,Owner,Mat M D,Household,Empty,Tot Units,Busi C,Serv H,Rooms,Fam Up D,Mat Ir D,Elect D,Date,Service,Mat M,Busi P,Elect,Fam C,Mat Br,Pop D,Fam Sp D,No Info,Child D,Fam C D,Serv Edu,Toilet,Pop,Families,Child,Mat Woo,Sheet N,Busi S,Fam P,Women D,Structure,Pop R,Fam Up,Mat Ir,Rent Max,Fam P D,Str Code,Mat Br D,Serv O,Fam S,Fam Sp,latitude,longitude
0,0,900,3600,0,0,KIA,0,3,800,0,1,4,0,4,0,0,4,0.25,0,0,0,0,4,0,0,3,0,3,0,0,0.417,0.75,0,0,12,4,5,0,1,0,0,0.25,87,12,1,0,1000,0,KIAS1S87S0,0,0,0,0,-1.308529343,36.77204207
0,4,1000,6000,0.667,0,KIA,0,1,1000,4,0,2,0,6,4,0,6,0,1,0.5,0,0,0,0,3,1,0,2.5,0,0,0.2,0.333,0,2,5,3,1,0,1,0,0,0.2,7,5,0,6,1000,0,KIAS1S7S0,0,0,2,0,-1.308103303,36.77282367
0,0,1500,10500,0.75,0,KIA,4,1,1500,0,0,6,0,7,0,0,7,0,0.538,0.43,80802,0,0,0,3,1,6,1.167,0,1,0.286,0.25,0,3,7,4,2,0,1,0,0,0.143,18,7,0,7,1500,0,KIAS1S18S8,0.462,0,3,0,-1.308181354,36.77277744
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308184326,36.77286427
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,KIAS1S6S0,1,0,0,0,-1.308186589,36.77292439
0,1,0,0,0,0,KIA,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,1,0,0,KIAS1S5S0,0,0,0,0,-1.308254499,36.77295757
0,0,1500,6000,0,0,KIA,0,4,1500,0,1,4,0,4,0,0,4,0,0,0.25,80730,0,4,0,1,3,0,5.25,0.25,0,0.667,0.75,0,4,21,4,14,0,1,0,0,0.19,32,21,0,0,1500,0,KIAS1S32S8,0,0,0,1,-1.308344832,36.77273078
0,0,1000,10000,0.688,0,KIA,0,6,1000,1,1,10,0,10,0,0,10,0,0,0,80730,0,10,0,0,5,0,2.7,0,0,0.222,0.313,0,9,27,16,6,0,1,0,0,0.222,31,27,0,0,1000,0,KIAS1S31S8,0,0,11,0,-1.308374943,36.77266429
0,0,0,0,0,0,KIA,0,1,0,1,1,1,0,1,0,0,3,0,0,0,80801,0,3,0,0,1,0,6,0,0,0.667,1,0,0,6,1,4,0,1,0,0,0.167,48,6,0,0,0,0,KIAS1S48S8,0,0,0,0,-1.308409157,36.77263218
0,0,1000,6000,0.333,0,KIA,0,4,1000,0,1,6,0,6,0,0,6,0,0,1,80801,0,4,0,6,4,0,2.333,0,0,0.286,0.667,0,0,14,6,4,0,1,0,0,0.286,46,14,0,0,1000,0,KIAS1S46S8,0,0,2,0,-1.308462714,36.77257621
